"CNG_MONTH","CNG_YEAR","LOCATION","ERNCD","SUM(HOURS_EARNED)"
"01","2017","CA0627","ATA",0
"01","2017","CA0627","DHO",13.733331
"01","2017","CA0627","EWC",10
"01","2017","CA0627","FIF",16
"01","2017","CA0627","FUP",48
"01","2017","CA0627","HLW",55.733334
"01","2017","CA0627","HOH",72.266666
"01","2017","CA0627","HOM",16
"01","2017","CA0627","HOP",8
"01","2017","CA0627","HTW",2.249999
"01","2017","CA0627","HWP",8.55
"01","2017","CA0627","ILL",8
"01","2017","CA0627","MMC",20
"01","2017","CA0627","MPF",64
"01","2017","CA0627","MUN",16
"01","2017","CA0627","OTP",69.600001
"01","2017","CA0627","PPD",5
"01","2017","CA0627","REG",1832.899997
"01","2017","CA0627","RTP",8
"01","2017","CA0627","S10",63.450003
"01","2017","CA0627","SDO",2.500001
"01","2017","CA0627","SIF",8
"01","2017","CA0627","SIU",8
"01","2017","CA0627","SPP",199.816666
"01","2017","CA0627","UMB",21
"01","2017","CA0627","UMP",21
"01","2017","CA0627","VAH",32
"01","2017","CA0627","VCC",128
"01","2017","GA0244","DHH",8
"01","2017","GA0244","DHO",6.083332
"01","2017","GA0244","EWC",4
"01","2017","GA0244","EWH",9
"01","2017","GA0244","FHH",3
"01","2017","GA0244","FIF",9.25
"01","2017","GA0244","FIL",6.5
"01","2017","GA0244","HLW",87.566666
"01","2017","GA0244","HOH",88.433334
"01","2017","GA0244","HOM",16.233333
"01","2017","GA0244","HOP",44
"01","2017","GA0244","HTW",1.75
"01","2017","GA0244","HW2",0.616667
"01","2017","GA0244","HWM",15.766667
"01","2017","GA0244","HWP",15.35
"01","2017","GA0244","ILH",15
"01","2017","GA0244","IPF",10.25
"01","2017","GA0244","MMC",17
"01","2017","GA0244","MPF",8
"01","2017","GA0244","MUN",2.033333
"01","2017","GA0244","OTP",51.683332
"01","2017","GA0244","REG",2853.683333
"01","2017","GA0244","RVP",78.5
"01","2017","GA0244","S10",43.883337
"01","2017","GA0244","SPP",183.533334
"01","2017","GA0244","VAH",127
"01","2017","GA0244","VCC",99
"01","2017","IL0258","ATA",0
"01","2017","IL0258","DHH",56
"01","2017","IL0258","DHO",19.300003
"01","2017","IL0258","EWC",20
"01","2017","IL0258","EWH",49
"01","2017","IL0258","FH1",16
"01","2017","IL0258","FHH",80
"01","2017","IL0258","FIF",8.5
"01","2017","IL0258","FIL",67.316667
"01","2017","IL0258","HLW",99.566666
"01","2017","IL0258","HOH",132.583334
"01","2017","IL0258","HOM",32.566668
"01","2017","IL0258","HOP",32
"01","2017","IL0258","HTW",0.166667
"01","2017","IL0258","HWM",31.433332
"01","2017","IL0258","HWP",12.499999
"01","2017","IL0258","ILH",8
"01","2017","IL0258","ILL",33
"01","2017","IL0258","IPF",67
"01","2017","IL0258","IUF",14.5
"01","2017","IL0258","LOF",56
"01","2017","IL0258","MMC",44
"01","2017","IL0258","MPF",30.5
"01","2017","IL0258","MUN",57.65
"01","2017","IL0258","NDH",32.666665
"01","2017","IL0258","OTP",89.750003
"01","2017","IL0258","REG",3840.883333
"01","2017","IL0258","S10",43.716668
"01","2017","IL0258","SDO",0.1
"01","2017","IL0258","SPP",308.183333
"01","2017","IL0258","VAH",148
"01","2017","IL0258","VCC",64
"01","2018","CA0627","DHO",16.833334
"01","2018","CA0627","EWC",22
"01","2018","CA0627","EWH",40
"01","2018","CA0627","FH1",6
"01","2018","CA0627","FHH",20
"01","2018","CA0627","HLW",79.333334
"01","2018","CA0627","HOH",104.666666
"01","2018","CA0627","HOM",24
"01","2018","CA0627","HOP",52
"01","2018","CA0627","HTW",2.2
"01","2018","CA0627","HW2",0.8
"01","2018","CA0627","HWM",16
"01","2018","CA0627","HWP",41.133334
"01","2018","CA0627","ILL",51
"01","2018","CA0627","IPF",16
"01","2018","CA0627","IUF",66.5
"01","2018","CA0627","MMC",63
"01","2018","CA0627","MPF",248
"01","2018","CA0627","MUN",56
"01","2018","CA0627","OTP",124.899999
"01","2018","CA0627","REG",2794.683332
"01","2018","CA0627","RPP",28
"01","2018","CA0627","S10",52.000001
"01","2018","CA0627","SDO",3.449999
"01","2018","CA0627","SIF",152
"01","2018","CA0627","SIU",40
"01","2018","CA0627","SPP",194.783333
"01","2018","CA0627","UMB",61
"01","2018","CA0627","UMP",7
"01","2018","CA0627","VAH",26
"01","2018","CA0627","VCC",72
"01","2018","GA0244","ATA",0
"01","2018","GA0244","DHH",8
"01","2018","GA0244","DHO",45.799997
"01","2018","GA0244","EWC",45
"01","2018","GA0244","EWH",15
"01","2018","GA0244","FHH",24
"01","2018","GA0244","FIF",40
"01","2018","GA0244","FIL",50.116666
"01","2018","GA0244","HLW",74.716668
"01","2018","GA0244","HOH",109.283332
"01","2018","GA0244","HOM",17.966667
"01","2018","GA0244","HOP",48
"01","2018","GA0244","HWM",6.033333
"01","2018","GA0244","HWP",21.7
"01","2018","GA0244","ILH",73
"01","2018","GA0244","ILL",49.5
"01","2018","GA0244","IPF",48
"01","2018","GA0244","IUF",48.1
"01","2018","GA0244","MMC",61
"01","2018","GA0244","MUN",14
"01","2018","GA0244","OTP",221.683335
"01","2018","GA0244","PPD",1
"01","2018","GA0244","REG",4191.083341
"01","2018","GA0244","RTP",136
"01","2018","GA0244","S10",90.816664
"01","2018","GA0244","SPP",191.750001
"01","2018","GA0244","VAH",74
"01","2018","GA0244","VCC",55
"01","2018","IL0258","DHH",4
"01","2018","IL0258","DHO",50.783337
"01","2018","IL0258","EWC",37
"01","2018","IL0258","EWH",58
"01","2018","IL0258","FHH",56
"01","2018","IL0258","FIF",13.966667
"01","2018","IL0258","HLW",190.83334
"01","2018","IL0258","HOH",305.16666
"01","2018","IL0258","HOM",24
"01","2018","IL0258","HOP",72
"01","2018","IL0258","HTW",0.2
"01","2018","IL0258","HW2",1.333333
"01","2018","IL0258","HWM",24
"01","2018","IL0258","HWP",17.899999
"01","2018","IL0258","ILH",8.5
"01","2018","IL0258","ILL",38
"01","2018","IL0258","IPF",103.516667
"01","2018","IL0258","IUF",33
"01","2018","IL0258","MMC",110
"01","2018","IL0258","MPF",49
"01","2018","IL0258","MUN",155.5
"01","2018","IL0258","OTP",561.70001
"01","2018","IL0258","REG",8107.466674
"01","2018","IL0258","RPH",64
"01","2018","IL0258","RPP",16
"01","2018","IL0258","RVP",10
"01","2018","IL0258","S10",250.60001
"01","2018","IL0258","SDO",0.666667
"01","2018","IL0258","SPP",531.766666
"01","2018","IL0258","UTH",3.5
"01","2018","IL0258","UTU",50
"01","2018","IL0258","VAH",80
"01","2018","IL0258","VCC",4
"01","2019","CA0627","DHO",22.366671
"01","2019","CA0627","DTP",2.199999
"01","2019","CA0627","EWC",20
"01","2019","CA0627","FHH",26
"01","2019","CA0627","HLW",40
"01","2019","CA0627","HOH",56
"01","2019","CA0627","HOM",11.333333
"01","2019","CA0627","HOP",58
"01","2019","CA0627","HTW",2.8
"01","2019","CA0627","HW2",2.1
"01","2019","CA0627","HWM",20.666667
"01","2019","CA0627","HWP",14.333333
"01","2019","CA0627","ILL",7
"01","2019","CA0627","IPF",8
"01","2019","CA0627","MMC",78
"01","2019","CA0627","MPF",21
"01","2019","CA0627","MUN",16.5
"01","2019","CA0627","OTP",110.500001
"01","2019","CA0627","REG",1925.95
"01","2019","CA0627","RPP",12.75
"01","2019","CA0627","RVP",112
"01","2019","CA0627","S10",36.499998
"01","2019","CA0627","SDO",2.816664
"01","2019","CA0627","SIF",21
"01","2019","CA0627","SPP",193.316668
"01","2019","CA0627","UMB",73
"01","2019","CA0627","UMP",1
"01","2019","CA0627","URB",1
"01","2019","CA0627","VAH",72
"01","2019","CA0627","VCC",48
"01","2019","GA0244","DHO",11.416667
"01","2019","GA0244","EWC",18
"01","2019","GA0244","EWH",8
"01","2019","GA0244","FHH",16
"01","2019","GA0244","FIL",4.383333
"01","2019","GA0244","FUP",46.5
"01","2019","GA0244","HLW",55.216666
"01","2019","GA0244","HOH",56.783334
"01","2019","GA0244","HOM",8.633334
"01","2019","GA0244","HOP",30
"01","2019","GA0244","HTW",0.1
"01","2019","GA0244","HWM",15.366666
"01","2019","GA0244","HWP",17.666665
"01","2019","GA0244","ILL",38.5
"01","2019","GA0244","IUF",9.566667
"01","2019","GA0244","MMC",9
"01","2019","GA0244","MPF",105
"01","2019","GA0244","MUN",192.5
"01","2019","GA0244","OTP",77.366661
"01","2019","GA0244","REG",2216.25001
"01","2019","GA0244","RVP",40
"01","2019","GA0244","S10",38.216666
"01","2019","GA0244","SPP",89.400001
"01","2019","GA0244","VCC",36
"01","2019","IL0258","DHH",8
"01","2019","IL0258","DHO",44.566669
"01","2019","IL0258","EWC",35
"01","2019","IL0258","EWH",20
"01","2019","IL0258","FHH",8
"01","2019","IL0258","HLW",61.15
"01","2019","IL0258","HOH",98.85
"01","2019","IL0258","HOM",16
"01","2019","IL0258","HOP",38
"01","2019","IL0258","HTW",0.333334
"01","2019","IL0258","HW2",1.366667
"01","2019","IL0258","HWM",8
"01","2019","IL0258","HWP",18.333334
"01","2019","IL0258","ILH",16.5
"01","2019","IL0258","MMC",103
"01","2019","IL0258","MUE",2.5
"01","2019","IL0258","MUN",26
"01","2019","IL0258","NDH",48.716666
"01","2019","IL0258","OTP",315.899996
"01","2019","IL0258","REG",4836.533337
"01","2019","IL0258","S10",58.866669
"01","2019","IL0258","SDO",0.483333
"01","2019","IL0258","SPP",279.233332
"01","2019","IL0258","UTH",20
"01","2019","IL0258","UTU",77
"01","2019","IL0258","VAH",166
"01","2019","IL0258","VCC",40
"01","2020","CA0627","BRH",40
"01","2020","CA0627","DHH",5
"01","2020","CA0627","DHO",3.200001
"01","2020","CA0627","EWC",11
"01","2020","CA0627","EWH",19
"01","2020","CA0627","FHH",8
"01","2020","CA0627","FIL",8
"01","2020","CA0627","HLW",31.766667
"01","2020","CA0627","HOH",72.233333
"01","2020","CA0627","HOM",16
"01","2020","CA0627","HOP",35
"01","2020","CA0627","HTW",0.083334
"01","2020","CA0627","HW2",0.016667
"01","2020","CA0627","HWM",8
"01","2020","CA0627","HWP",11.8
"01","2020","CA0627","ILH",17.5
"01","2020","CA0627","IPF",16
"01","2020","CA0627","IUF",8
"01","2020","CA0627","MMC",19
"01","2020","CA0627","MPF",8
"01","2020","CA0627","MUE",16
"01","2020","CA0627","MUN",24
"01","2020","CA0627","OTP",36.516671
"01","2020","CA0627","REG",1559.783334
"01","2020","CA0627","RPH",32
"01","2020","CA0627","RPP",9.5
"01","2020","CA0627","RVP",8
"01","2020","CA0627","S10",17.433334
"01","2020","CA0627","SDO",0.133333
"01","2020","CA0627","SFF",8
"01","2020","CA0627","SIF",40
"01","2020","CA0627","SPP",128.183334
"01","2020","CA0627","UMB",19
"01","2020","CA0627","VAH",114
"01","2020","CA0627","VCC",33
"01","2020","GA0244","DHO",0.983334
"01","2020","GA0244","EWC",7
"01","2020","GA0244","EWH",22
"01","2020","GA0244","FIL",20
"01","2020","GA0244","HLW",23.733334
"01","2020","GA0244","HOH",72.266666
"01","2020","GA0244","HOM",16
"01","2020","GA0244","HOP",35
"01","2020","GA0244","HWM",24
"01","2020","GA0244","HWP",11.616666
"01","2020","GA0244","ILL",16.033334
"01","2020","GA0244","IUF",28.016667
